"site_id","name","lat","lon","acres","state","notes"
"CA-DC-0007","Amazon Web Services — Tracy","37.73987","-121.42618","","CA","Status: operational; City: Tracy"
"OR-DC-0004","Amazon Web Services — Umatilla","45.5919","-118.73683","","OR","Status: operational; City: Umatilla"
"VA-DC-0021","Amazon Web Services — Warrenton","38.71345","-77.79527","","VA","Status: approved; City: Warrenton"
"OR-DC-0034","Amazon Web Services — Warrenton OR","46.1651","-123.92376","","OR","Status: unresearchable; City: Warrenton"
"WA-DC-0003","Amazon Web Services — Wenatchee","47.42346","-120.31035","","WA","Status: operational; City: Wenatchee"
"CA-DC-0008","Ameresco & CyrusOne NAS Lemoore","36.30078","-119.78291","","CA","Status: announced; City: Lemoore"
"NC-DC-0001","Apple Maiden","35.57569","-81.21175","","NC","Status: operational; City: Maiden"
"AZ-DC-0010","Apple Mesa","33.42227","-111.82264","","AZ","Status: operational; City: Mesa"
"CA-DC-0009","Apple Newark","37.52966","-122.04024","","CA","Status: operational; City: Newark"
"OR-DC-0005","Apple Prineville","44.29985","-120.83447","","OR","Status: operational; City: Prineville"
"NV-DC-0001","Apple Reno","39.53491","-119.75269","","NV","Status: operational; City: Sparks"
"MN-DC-0003","Apple Valley Technology Park","44.73191","-93.21772","","MN","Status: rejected; City: Apple Valley"
"IA-DC-0001","Apple Waukee","41.61166","-93.88523","","IA","Status: operational; City: Waukee"
"IA-DC-0002","Applied Digital Adair County","41.30527","-94.46135","","IA","Status: announced; City: Greenfield"
"LA-DC-0002","Applied Digital Delta Forge 1","31.39046","-92.66931","","LA","Status: under_construction; City: Boyce"
"TX-DC-0011","Applied Digital Garden City TX","31.86402","-101.48123","","TX","Status: operational; City: Garden City"
"ND-DC-0001","Applied Digital Jamestown","46.91054","-98.70844","","ND","Status: operational; City: Jamestown"
"ND-DC-0002","Applied Digital Polaris Forge 1","46.00275","-98.52705","","ND","Status: under_construction; City: Ellendale"
"ND-DC-0003","Applied Digital Polaris Forge 2","46.97941","-96.88064","","ND","Status: under_construction; City: Harwood"
"TX-DC-0012","AT&T Allen TX","33.10317","-96.67055","","TX","Status: operational; City: Allen"
"VA-DC-0022","AT&T Ashburn VA","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"MA-DC-0001","AT&T Boston Watertown MA","42.37093","-71.18283","","MA","Status: operational; City: Watertown"
"TX-DC-0013","AT&T Dallas Webb Chapel TX","32.76663","-96.77787","","TX","Status: operational; City: Dallas"
"CA-DC-0010","AT&T Hawthorne CA","33.9164","-118.35257","","CA","Status: operational; City: Hawthorne"
"CA-DC-0011","AT&T Irvine CA","33.66946","-117.82311","","CA","Status: operational; City: Irvine"
"NC-DC-0002","AT&T Kings Mountain NC","35.24513","-81.34119","","NC","Status: operational; City: Kings Mountain"
"IL-DC-0004","AT&T Lisle IL","41.80114","-88.07479","","IL","Status: operational; City: Lisle"
"GA-DC-0003","AT&T Lithia Springs GA","33.794","-84.66049","","GA","Status: operational; City: Lithia Springs"
"WA-DC-0004","AT&T Lynnwood WA","47.82093","-122.31513","","WA","Status: operational; City: Lynnwood"
"FL-DC-0001","AT&T Miami FL","25.77427","-80.19366","","FL","Status: operational; City: Miami"
"GA-DC-0004","AT&T Midtown Atlanta GA","33.749","-84.38798","","GA","Status: operational; City: Atlanta"
"NY-DC-0001","AT&T New York NYC","40.77427","-73.96981","","NY","Status: operational; City: New York"
"IL-DC-0005","AT&T Oak Brook IL","41.83281","-87.92895","","IL","Status: operational; City: Oak Brook"
"FL-DC-0002","AT&T Orlando FL","28.53834","-81.37924","","FL","Status: operational; City: Orlando"
"AZ-DC-0011","AT&T Phoenix Mesa AZ","33.42227","-111.82264","","AZ","Status: operational; City: Mesa"
"NJ-DC-0001","AT&T Piscataway NJ","40.49927","-74.39904","","NJ","Status: operational; City: Piscataway"
"CA-DC-0012","AT&T Redwood City CA","37.48522","-122.23635","","CA","Status: operational; City: Redwood City"
"CA-DC-0013","AT&T San Diego CA","33.0282","-116.77021","","CA","Status: operational; City: San Diego"
"CA-DC-0014","AT&T San Jose CA","37.33939","-121.89496","","CA","Status: operational; City: San Jose"
"NJ-DC-0002","AT&T Secaucus NJ","40.78955","-74.05653","","NJ","Status: operational; City: Secaucus"
"TX-DC-0014","AT&T Waco TX","31.54933","-97.14667","","TX","Status: operational; City: Waco"
"WA-DC-0005","Atlas Agro Richland","46.28569","-119.28446","","WA","Status: announced; City: Richland"
"WA-DC-0006","Atlas Agro Richland Campus","46.28569","-119.28446","","WA","Status: announced; City: Richland"
"TX-DC-0015","Atomic Data Dallas","32.76663","-96.77787","","TX","Status: operational; City: Dallas"
"MN-DC-0004","Atomic Data Minneapolis Central","44.97997","-93.26384","","MN","Status: operational; City: Minneapolis"
"MN-DC-0005","Atomic Data Minneapolis East","44.97997","-93.26384","","MN","Status: operational; City: Minneapolis"
"VA-DC-0023","AVAIO Digital - Carmel Church Data Hub","37.92875","-77.45582","","VA","Status: announced; City: Ruther Glen"
"VA-DC-0024","AVAIO Digital - Farmville Data Hub","37.3021","-78.39194","","VA","Status: announced; City: Farmville"
"VA-DC-0025","AVAIO Digital - Hercules Campus","37.37229","-78.81212","","VA","Status: announced; City: Appomattox"
"VA-DC-0026","AVAIO Digital - Ladysmith Campus","38.01764","-77.51526","","VA","Status: announced; City: Ladysmith"
"AR-DC-0001","AVAIO Digital - Leo Campus","34.74648","-92.28959","","AR","Status: announced; City: Little Rock"
"CA-DC-0015","AVAIO Digital - Perseus Campus","38.02798","-121.88468","","CA","Status: permitting; City: Pittsburg"
"MS-DC-0003","AVAIO Digital - Taurus Campus","32.2732","-89.98592","","MS","Status: under_construction; City: Brandon"
"VA-DC-0027","Balico Pittsylvania County","36.82133","-79.39711","","VA","Status: cancelled; City: Pittsylvania County"
"WI-DC-0002","Balloonist Menomonie Data Center","44.87552","-91.91934","","WI","Status: paused; City: Menomonie"
"KS-DC-0003","Beale De Soto Data Center","38.97917","-94.96858","","KS","Status: announced; City: De Soto"
"AZ-DC-0012","Beale Marana Data Center","32.43674","-111.22538","","AZ","Status: permitting; City: Marana"
"OK-DC-0001","Beale Project Atlas","35.95177","-95.65081","","OK","Status: cancelled; City: Coweta"
"AZ-DC-0013","Beale Project Blue","32.22174","-110.92648","","AZ","Status: permitting; City: Tucson"
"OK-DC-0002","Beale Project Clydesdale","36.26954","-95.85471","","OK","Status: permitting; City: Owasso"
"OK-DC-0003","Beale Project Mustang","36.3126","-95.61609","","OK","Status: announced; City: Claremore"
"OK-DC-0004","Beltline Energy Luther","35.66173","-97.19559","","OK","Status: announced; City: Luther"
"MO-DC-0001","Beltline Energy Pacific MO","38.482","-90.74152","","MO","Status: announced; City: Pacific"
"OH-DC-0008","Bitdeer Clarington","39.76563","-80.87121","","OH","Status: under_construction; City: Clarington"
"TN-DC-0004","Bitdeer Knoxville","35.96064","-83.92074","","TN","Status: operational; City: Knoxville"
"OH-DC-0009","Bitdeer Massillon","40.79672","-81.52151","","OH","Status: operational; City: Massillon"
"OH-DC-0010","Bitdeer Niles","41.18284","-80.76536","","OH","Status: under_construction; City: Niles"
"TX-DC-0016","Bitdeer Rockdale","30.65548","-97.00137","","TX","Status: operational; City: Rockdale"
"WA-DC-0007","Bitdeer Wenatchee","47.42346","-120.31035","","WA","Status: operational; City: Wenatchee"
"PA-DC-0004","Bitfarms Sharon","41.23311","-80.4934","","PA","Status: operational; City: Sharon"
"WA-DC-0008","Bitfarms Washington","47.13014","-119.27808","","WA","Status: under_construction; City: Moses Lake"
"IL-DC-0006","Brennan Investment Group - Barrington Hills Data Center","42.14475","-88.15563","","IL","Status: cancelled; City: Barrington Hills"
"IL-DC-0007","Brennan Investment Group - Elk Grove Village Data Center Site","42.00392","-87.97035","","IL","Status: operational; City: Elk Grove Village"
"IL-DC-0008","Brennan Investment Group - Rolling Meadows Commerce Center","42.08419","-88.01313","","IL","Status: announced; City: Rolling Meadows"
"OH-DC-0011","Bristolville 25 Lordstown","41.16561","-80.85758","","OH","Status: paused; City: Lordstown"
"CA-DC-0016","CalEthos","33.24004","-115.51888","","CA","Status: announced; City: Niland"
"CA-DC-0017","CalEthos Imperial County","33.24004","-115.51888","","CA","Status: announced; City: Niland"
"CA-DC-0018","CalEthos Lithium Valley","33.03951","-115.36532","","CA","Status: announced; City: Imperial County"
"NC-DC-0003","Centra Digital Interconnect","35.22709","-80.84313","","NC","Status: operational; City: Charlotte"
"NC-DC-0004","Centra Digital Interconnect Charlotte","35.22709","-80.84313","","NC","Status: operational; City: Charlotte"
"OH-DC-0012","Centra Digital Interconnect Columbus","39.96118","-82.99879","","OH","Status: operational; City: Columbus"
"MN-DC-0006","Centra Digital Interconnect Minneapolis","44.97997","-93.26384","","MN","Status: operational; City: Minneapolis"
"ME-DC-0001","Centra Digital Interconnect Portland","43.65737","-70.2589","","ME","Status: operational; City: Portland"
"NV-DC-0002","Centra Digital Interconnect Reno","39.52963","-119.8138","","NV","Status: operational; City: Reno"
"TX-DC-0017","Cipher Mining Alborz","34.74367","-101.85463","","TX","Status: operational; City: Happy"
"TX-DC-0018","Cipher Mining Barber Lake","32.38817","-100.86456","","TX","Status: announced; City: Colorado City"
"TX-DC-0019","Cipher Mining Bear","32.30503","-102.63781","","TX","Status: operational; City: Andrews"
"TX-DC-0020","Cipher Mining Black Pearl","32.30503","-102.63781","","TX","Status: under_construction; City: Andrews"
"TX-DC-0021","Cipher Mining Chief","32.30503","-102.63781","","TX","Status: operational; City: Andrews"
"TX-DC-0022","Cipher Mining Odessa","31.84568","-102.36764","","TX","Status: operational; City: Odessa"
"TX-DC-0023","Cipher Mining Reveille","28.43693","-99.23503","","TX","Status: announced; City: Cotulla"
"TX-DC-0024","Cipher Mining Stingray","32.30503","-102.63781","","TX","Status: under_construction; City: Andrews"
"TX-DC-0025","CleanArc Dallas","32.76663","-96.77787","","TX","Status: announced; City: Dallas"
"VA-DC-0028","CleanArc VA1 Campus","37.92875","-77.45582","","VA","Status: under_construction; City: Ruther Glen"
"IL-DC-0009","CloudCenters Lisle Data Center","41.80114","-88.07479","","IL","Status: cancelled; City: Lisle"
"VA-DC-0029","CloudHQ CLP Campus","38.48606","-77.95589","","VA","Status: operational; City: Culpeper"
"VA-DC-0030","CloudHQ LC Campus","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0031","CloudHQ LC1 Campus","39.04372","-77.48749","","VA","Status: operational; City: Ashburn"
"VA-DC-0032","CloudHQ MCC Campus","38.75095","-77.47527","","VA","Status: operational; City: Manassas"
"VA-DC-0033","CloudHQ MCC2 Campus","38.75095","-77.47527","","VA","Status: operational; City: Manassas"
"VA-DC-0034","CloudHQ MDC Campus","38.75095","-77.47527","","VA","Status: operational; City: Manassas"
"MN-DC-0007","CloudHQ MSP Campus","44.78941","-93.60218","","MN","Status: operational; City: Chaska"
"IL-DC-0010","CloudHQ ORD Campus","42.03336","-87.8834","","IL","Status: operational; City: Des Plaines"
"TX-DC-0026","CloudHQ SAT Campus","29.42412","-98.49363","","TX","Status: operational; City: San Antonio"
"CA-DC-0019","CloudHQ SJC Campus","37.23249","-121.69627","","CA","Status: operational; City: Santa Clara"
"VA-DC-0035","Cogent","38.90122","-77.26526","","VA","Status: operational; City: Vienna"
"OH-DC-0013","Cogent Akron","41.08144","-81.51901","","OH","Status: operational; City: Akron"
"NY-DC-0002","Cogent Albany","42.60018","-73.97356","","NY","Status: operational; City: Albany"
"CA-DC-0020","Cogent Anaheim","33.83529","-117.9145","","CA","Status: operational; City: Anaheim"
"GA-DC-0005","Cogent Atlanta","33.749","-84.38798","","GA","Status: operational; City: Atlanta"
"TX-DC-0027","Cogent Austin","29.88702","-96.27791","","TX","Status: operational; City: Austin"
"MT-DC-0001","Cogent Billings","45.78329","-108.50069","","MT","Status: operational; City: Billings"
"FL-DC-0003","Cogent Boca Raton","26.35869","-80.0831","","FL","Status: operational; City: Boca Raton"
"MA-DC-0002","Cogent Boston","42.3876","-71.0995","","MA","Status: operational; City: Somerville"
"NY-DC-0003","Cogent Buffalo","42.88645","-78.87837","","NY","Status: operational; City: Buffalo"
"CA-DC-0021","Cogent Burbank","34.18084","-118.30897","","CA","Status: operational; City: Burbank"
"NC-DC-0005","Cogent Charlotte","35.22709","-80.84313","","NC","Status: operational; City: Charlotte"
"WY-DC-0001","Cogent Cheyenne","41.13998","-104.82025","","WY","Status: operational; City: Cheyenne"
"IL-DC-0011","Cogent Chicago","41.85003","-87.65005","","IL","Status: operational; City: Chicago"
"OH-DC-0014","Cogent Cleveland","41.4995","-81.69541","","OH","Status: operational; City: Cleveland"
"OH-DC-0015","Cogent Columbus","39.96118","-82.99879","","OH","Status: operational; City: Columbus"
"DC-DC-0001","Cogent Communications","38.89511","-77.03637","","DC","Status: operational; City: Washington"
"TX-DC-0028","Cogent Dallas","32.76663","-96.77787","","TX","Status: operational; City: Dallas"
"VA-DC-0036","Cogent Data Centers","38.90122","-77.26526","","VA","Status: operational; City: Vienna"
"CO-DC-0001","Cogent Denver","39.76204","-104.87635","","CO","Status: operational; City: Denver"
"MI-DC-0005","Cogent Detroit","42.60559","-83.14993","","MI","Status: operational; City: Troy"
"TX-DC-0029","Cogent El Paso","31.76855","-106.23483","","TX","Status: operational; City: El Paso"
"MD-DC-0002","Cogent Elkridge","39.21261","-76.71358","","MD","Status: operational; City: Elkridge"
"SC-DC-0001","Cogent Fairfax SC","32.95905","-81.2365","","SC","Status: operational; City: Fairfax"
"TX-DC-0030","Cogent Fort Worth","32.72541","-97.32085","","TX","Status: operational; City: Fort Worth"
"NJ-DC-0003","Cogent Franklin NJ","40.89232","-74.47738","","NJ","Status: operational; City: Franklin"
"NJ-DC-0004","Cogent Hackensack","40.88593","-74.04347","","NJ","Status: operational; City: Hackensack"
"FL-DC-0004","Cogent Hollywood FL","26.0112","-80.14949","","FL","Status: operational; City: Hollywood"
"TX-DC-0031","Cogent Houston","31.31773","-95.42268","","TX","Status: operational; City: Houston"
"IN-DC-0004","Cogent Indianapolis","39.76838","-86.15804","","IN","Status: operational; City: Indianapolis"
"TX-DC-0032","Cogent Irving","32.81402","-96.94889","","TX","Status: operational; City: Irving"
"MO-DC-0002","Cogent Kansas City","39.09973","-94.57857","","MO","Status: operational; City: Kansas City"
"CA-DC-0022","Cogent La Mirada","33.91724","-118.01201","","CA","Status: operational; City: La Mirada"
"CA-DC-0023","Cogent Livermore","37.68187","-121.76801","","CA","Status: operational; City: Livermore"
"CA-DC-0024","Cogent Los Angeles","34.19801","-118.26102","","CA","Status: operational; City: Los Angeles"
"KY-DC-0001","Cogent Louisville","38.25424","-85.75941","","KY","Status: operational; City: Louisville"
"FL-DC-0005","Cogent Miami","25.77427","-80.19366","","FL","Status: operational; City: Miami"
"WI-DC-0003","Cogent Milwaukee","43.02172","-87.92908","","WI","Status: operational; City: Milwaukee"
"MN-DC-0008","Cogent Minneapolis","44.97997","-93.26384","","MN","Status: operational; City: Minneapolis"
"TN-DC-0005","Cogent Nashville","36.16589","-86.78444","","TN","Status: operational; City: Nashville"
"LA-DC-0003","Cogent New Orleans","29.95465","-90.07507","","LA","Status: operational; City: New Orleans"
"NY-DC-0004","Cogent New York","40.77427","-73.96981","","NY","Status: operational; City: New York"
"OK-DC-0005","Cogent Oklahoma City","35.46756","-97.51643","","OK","Status: operational; City: Oklahoma City"
"NE-DC-0003","Cogent Omaha","41.25626","-95.94043","","NE","Status: operational; City: Omaha"
"FL-DC-0006","Cogent Orlando","28.53834","-81.37924","","FL","Status: operational; City: Orlando"
"CA-DC-0025","Cogent Oroville","39.51394","-121.55776","","CA","Status: operational; City: Oroville"
"CA-DC-0026","Cogent Palm Springs","33.8303","-116.54529","","CA","Status: operational; City: Palm Springs"
"CA-DC-0027","Cogent Pasadena","34.14778","-118.14452","","CA","Status: operational; City: Pasadena"
"NJ-DC-0005","Cogent Pennsauken","39.95622","-75.05795","","NJ","Status: operational; City: Pennsauken"
"AZ-DC-0014","Cogent Phoenix","33.44838","-112.07404","","AZ","Status: operational; City: Phoenix"
"PA-DC-0005","Cogent Pittsburgh","40.44062","-79.99589","","PA","Status: operational; City: Pittsburgh"
"OR-DC-0006","Cogent Portland","45.52345","-122.67621","","OR","Status: operational; City: Portland"
"NC-DC-0006","Cogent Raleigh","35.7721","-78.63861","","NC","Status: operational; City: Raleigh"
"CA-DC-0028","Cogent Rialto","34.1064","-117.37032","","CA","Status: operational; City: Rialto"
"VA-DC-0037","Cogent Richmond","37.93705","-76.72968","","VA","Status: operational; City: Richmond"
"CA-DC-0029","Cogent San Diego","33.0282","-116.77021","","CA","Status: operational; City: San Diego"
"CA-DC-0030","Cogent San Jose","37.33939","-121.89496","","CA","Status: operational; City: San Jose"
"WA-DC-0009","Cogent Seattle","47.60621","-122.33207","","WA","Status: operational; City: Seattle"
"NJ-DC-0006","Cogent Sparta NJ","41.03343","-74.63849","","NJ","Status: operational; City: Sparta"
"WA-DC-0010","Cogent Spokane","47.62064","-117.40401","","WA","Status: operational; City: Spokane"
"MA-DC-0003","Cogent Springfield MA","42.10148","-72.58981","","MA","Status: operational; City: Springfield"
"MO-DC-0003","Cogent St. Louis","38.64068","-90.44341","","MO","Status: operational; City: St. Louis"
"CA-DC-0031","Cogent Stockton","37.9577","-121.29078","","CA","Status: operational; City: Stockton"
"NY-DC-0005","Cogent Syracuse","43.04812","-76.14742","","NY","Status: operational; City: Syracuse"
